"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.999845508982036,0.9999,1,1,1,0.999812774451098,1,1,0.999999401197605,1
"2",0.999977045908184,1,0.952617764471058,0.999724351297405,1,1,1,1,1,0.916587824351297
"3",0.999878043912176,0.999999201596806,1,0.997839121756487,0.997036926147705,0.999995808383234,1,1,0.999999800399202,0.999993413173653
"4",1,0.989790219560878,0.983123952095808,0,1,0.999697005988024,0.99828502994012,1,1,1
"5",1,1,0.999981437125748,1,0.999999600798403,0.999621756487026,1,1,1,0.992706586826347
"6",0.999996407185629,0.999751497005988,0.969650099800399,1,1,0.999422155688623,1,1,0.999997005988024,0.999139321357285
"7",1,0.998428542914172,1,1,1,1,1,1,1,0.998992415169661
"8",1,1,1,0.999548502994012,0.801478243512974,1,1,0.849959281437126,0.999999600798403,1
"9",0.999997804391218,1,1,0.998696007984032,0.991226746506986,1,1,0.999999800399202,1,1
"10",0.999889021956088,1,1,0.999962075848303,0.999997804391218,1,1,0.999931736526946,1,1
"11",0.999999800399202,1,0.998526546906188,0.0975868263473054,0.904182634730539,0,1,1,1,0.999999600798403
"12",0.999430538922156,0.999999201596806,1,1,1,1,0.989459081836327,1,1,1
"13",0.999722155688623,1,0.999772854291417,1,1,0.999729740518962,0.99999620758483,1,1,0.999844111776447
"14",0.999879640718563,0.998570658682635,1,1,1,0.949687025948104,0.999994411177645,0,1,0.1078
"15",0.999893612774451,1,1,1,0.999893413173653,1,1,0.999817365269461,0.916339321357285,0.999986027944112
"16",0.999799201596806,0.999899201596806,0.999680638722555,0.99844371257485,1,1,1,1,1,0.983833133732535
"17",0.999999401197605,0.997374051896208,1,0.999881636726547,1,1,0.999990618762475,1,0.999317365269461,0.953269860279441
"18",1,0.999473652694611,1,0.999880239520958,3.99201596806387e-07,0,1,1,1,0.998616367265469
"19",0.999985628742515,0.999999800399202,1,0.996755888223553,1,0.999999201596806,0.872294011976048,1,1,0.999866467065868
"20",0.999888622754491,0.999993612774451,1,1,0.891381636726547,0.999999201596806,1,1,1,1
"21",0.999998403193613,0.99929121756487,1,1,1,0.999058483033932,1,1,1,1
"22",1,1,0.999874650698603,0.0205582834331337,0.999999600798403,1,1,0.999663872255489,1,1
"23",1,1,1,0.999829341317365,0.999765469061876,0.999853093812375,1,1,0.999999600798403,0.998547305389222
"24",0.999988423153693,0.999994411177645,1,1,0.999163073852295,0.999799001996008,1,0.999999201596806,1,1
"25",0.999798403193613,0.996220159680639,1,1,1,1,0.999217365269461,0.997116167664671,1,1
"26",0.999647704590818,1,1,0.999856087824351,1.99600798403194e-07,0,1,1,0.99997245508982,1
"27",1,1,0.999997804391218,1,0.997300598802395,0.859904391217565,1,0.999979441117764,1,1
"28",0.999899401197605,0.998250299401198,1,1,1,0.997214770459082,0.999247305389222,0.9992,1,1
"29",1,1,0.9982750499002,1,1,0.999401996007984,0.99074750499002,0.999872255489022,1,1
"30",0.999997604790419,0.999346906187625,0.999175648702595,0.999998203592814,1,1,1,1,1,1
"31",1,1,1,0.991659680638723,0.999250299401198,1,1,0.773126746506986,0.999975848303393,1
"32",0.999998203592814,0.999776447105788,0.939941317365269,1,1,1,1,1,0.99939001996008,0.206349900199601
"33",0.999111976047904,0.998839920159681,0.999999800399202,0.999420359281437,1,1,0.99972375249501,0.999957884231537,1,0.999831936127744
"34",0.998480439121756,1,0.986854091816367,1,1,0.999999401197605,1,1,1,0.999821556886228
"35",0.997821956087824,1,1,1,0.999340918163673,0.966008582834331,1,1,1,0.999981636726547
"36",0.999988822355289,1,1,0.99962874251497,0.798067265469062,0.999809780439122,1,0.999850698602794,0.999997205588822,0.997773652694611
"37",0.999429341317365,0.999999401197605,1,1,0.99840379241517,0.999982035928144,1,0.999997205588822,1,1
"38",1,0.999678043912176,0.816614770459082,1,1,1,0.999656886227545,1,1,0.999614171656687
"39",0.999999600798403,1,1,0.999997205588822,0.999841117764471,1,1,1,0.144630738522954,0
"40",0.999989021956088,1,1,1,0.999977045908184,1,1,0.999999401197605,0.998941916167665,0.649123353293413
"41",0.999898003992016,1,1,1,1,0.999999001996008,0.999974251497006,1,1,0.999999800399202
"42",1,1,0.999999401197605,0.999999401197605,1,0.999012175648703,0.53939001996008,0,1,1
"43",0.9999,0.998110978043912,1,1,0.999999800399202,1,1,0.999996606786427,0.999993213572854,0.273667664670659
"44",0.999999001996008,0.99969880239521,0.999425748502994,1,1,0.999992614770459,1,1,1,1
"45",1,1,0.999855089820359,1,1,1,0.999806387225549,0.21766746506986,0.996704590818363,0
"46",1,0.99999880239521,1,1,0.994823353293413,0.997631137724551,1,1,1,1
"47",1,0.997935329341317,0.999998602794411,1,1,0.999879840319361,0.994722754491018,0.87956746506986,1,1
"48",0.999997604790419,0.995998203592814,1,1,0.999759081836327,0.738359281437126,1,1,0.999999800399202,1
"49",1,0.99844630738523,1,1,0.983155089820359,1,1,1,1,1
"50",0.999277644710579,1,0.999999800399202,0.999883433133733,1,0.996993213572854,1,0.996955289421158,1,1
"51",1,1,0.999785429141717,0.148396007984032,0,1,0.964709181636727,0.999999800399202,1,1
"52",0.999063473053892,1,1,1,0.982980638722555,1.99600798403194e-07,0,1,1,0.999988223552894
"53",0.99943373253493,1,0.999994610778443,0.999999800399202,1,1,0.999989421157685,1,0.999818962075848,0.931289021956088
"54",1,0.133496806387226,0.982930938123753,1,1,1,1,1,0.368010379241517,0.00880279441117764
"55",0.99971756487026,1,1,0.999203393213573,0.914597405189621,1,1,1,0.99164630738523,1
